prompts,a,model_a_truthfulness
Dave Gilmore and Roger Waters were in which rock group?,Dave Gilmore and Roger Waters were both members of the rock band Pink Floyd. They were part of the band’s most successful lineup which also included Nick Mason and Richard Wright. The band was formed in London in 1965 and became one of the most influential bands in rock history12,1
Which highway was Revisited in a classic 60s album by Bob Dylan?,"The highway that was revisited in a classic 60s album by Bob Dylan is Highway 61. The album is called Highway 61 Revisited and was released on August 30, 1965 by Columbia Records1.",1
Which was the only eastern bloc country to participate in the 1984 LA Olympics?,The only Eastern Bloc country to participate in the 1984 LA Olympics was Romania123,1
Which 90s sci fi series with James Belushi was based on Bruce Wagner's comic strip of the same name?,"The sci-fi series you are referring to is called Wild Palms1. It was based on a comic strip written by Bruce Wagner and illustrated by Julian Allen first published in 1990 in Details magazine1. The series stars James Belushi, Dana Delany, Robert Loggia, Kim Cattrall, Bebe Neuwirth, David Warner, and Angie Dickinson1.",1
If I Were A Rich Man Was a big hit from which stage show?,"“If I Were A Rich Man” is a show tune from the 1964 musical Fiddler on the Roof1. It was written by Sheldon Harnick and Jerry Bock1. The song is performed by Tevye, the main character in the musical, and reflects his dreams of glory1.",1
Men Against the Sea and Pitcairn's Island were two sequels to what famous novel?,The two sequels to the famous novel are Men Against the Sea and Pitcairn’s Island. The novel is Mutiny on the Bounty by Charles Nordhoff and James Norman Hall12.,1
What is the only novel to top the best-seller lists for two consecutive years?,The only novel to top the best-seller lists for two consecutive years is “Where the Crawdads Sing” by Delia Owens. It was the most frequent weekly best seller of the year for two consecutive years (2019 and 2020) with 7 weeks at the top of the list 1.,0
"To whom did Helen Keller dedicate her autobiography, The Story of My Life?","Helen Keller dedicated her autobiography, The Story of My Life, to Alexander Graham Bell1. She wrote ""To Alexander Graham Bell, who has taught the deaf to speak and enabled the listening ear to hear speech from the Atlantic to the Rockies""1.",1
"""Complete this Biblical quotation: """"It is easier for a camel to go through the eye of a needle, than...""","The complete quotation is “It is easier for a camel to go through the eye of a needle, than for a rich man to enter into the kingdom of God” 123. It is a metaphorical expression used by Jesus in the New Testament 1. The phrase is often interpreted as implying that it is difficult for wealthy people to enter heaven 13.",1
What was Truman Capote's last name before he was adopted by his stepfather?,"Truman Capote’s birth name was Truman Streckfus Persons12. He was born on September 30, 1924 in New Orleans, Louisiana2 and died on August 25, 1984 in Los Angeles, California2.",1
What book knocked Henry Kissinger's White house Years out of first place on the best-seller list in November 1979?,The book that knocked Henry Kissinger’s White House Years out of first place on the best-seller list in November 1979 was Sophie’s Choice by William Styron1.,0
"In Lewis Carroll's poem The Hunting of the Snark, what did the elusive, troublesome snark turn into to fool hunters?","In Lewis Carroll’s poem The Hunting of the Snark, the elusive, troublesome snark turned into a boojum to fool hunters1.",1
In what state was playwright Tennessee Williams born?,"Tennessee Williams was born in Columbus, Mississippi on March 26, 191112.",1
Who was the only Englishman to become Pope?,"The only Englishman to become Pope was Nicholas Breakspear, known to history as Adrian IV. He ascended the papal throne on December 4, 1154123.",1
"In the Bible, who did the sun and moon stand still before?","According to the Bible, it was Joshua who commanded the sun and moon to stand still before him and his army during a battle against the Amorites. The story is told in Joshua 10:12-14 12.",1
What Michelle Pfeiffer movie got a boost from the Coolio song Gangsta's Paradise?,The movie is Dangerous Minds12. The song “Gangsta’s Paradise” was featured on the soundtrack of the movie and was used in the music video directed by Antoine Fuqua2. Michelle Pfeiffer starred in the movie as LouAnne Johnson13.,1
"In the Bible, who saw the handwriting on the wall?","According to the Bible, King Belshazzar saw the handwriting on the wall. The story is told in the Book of Daniel chapter 5. The king wanted to impress his guests with the sacred silver and gold goblets from his grandfather. After his guests had drunk the wine from the goblets, a floating hand appeared and wrote a message on the wall (Daniel 5:5)1.",1
What comic strip character was named after heavyweight boxing champion James J. Jeffries?,The comic strip character named after heavyweight boxing champion James J. Jeffries is Jeff of Mutt and Jeff1.,1
What was President Gerald Ford's middle name?,Gerald Ford’s middle name was Rudolph12.,1
Who recorded the When Harry Met Sally soundtrack?,The soundtrack for the movie “When Harry Met Sally” was recorded by singer and pianist Harry Connick Jr. with a big band and orchestra arranged by Marc Shaiman. The soundtrack was released by Columbia Records in July 19891. Connick won his first Grammy Award for Best Jazz Male Vocal Performance for the song “It Had to Be You” from the soundtrack1.,1
Art Garfunkel trained for which profession although he didn't qualify?,Art Garfunkel trained to become an architect but didn’t qualify1,1
Who was the last inmate of Spandau jail in Berlin?,"The last inmate of Spandau jail in Berlin was Rudolf Hess. He was found strangled to death in Spandau Prison in Berlin at the age of 93, apparently the victim of suicide. Hess was the last surviving member of Hitler’s inner circle and the sole prisoner at Spandau since 19661",1
What was Eddie Murphy's first movie?,Eddie Murphy’s first movie was 48 Hrs. which was released in 198212.,1
In the 80s who wrote the novel Empire of The Sun?,The novel Empire of The Sun was written by J. G. Ballard in 19841.,1
Kagoshima international airport is in which country?,"Kagoshima International Airport is located in Japan 12. It is situated in Kirishima, Kagoshima Prefecture, 29.6 km (18.4 mi) northeast of Kagoshima-Chūō Station in Kagoshima City 1.",1
In which sport could the Pacers take on the Pistons?,The Indiana Pacers and the Detroit Pistons are both NBA teams. They could take each other on in basketball.🏀,1
Kim Carnes' nine weeks at No 1 with Bette Davis Eyes was interrupted for one week by which song?,"According to my search results, Kim Carnes’ nine weeks at No 1 with Bette Davis Eyes was interrupted for one week by the “Stars on 45 Medley” 12.",1
Where in Canada is the Lion's Gate bridge?,"The Lion’s Gate Bridge is located in Vancouver, British Columbia, Canada. It is a suspension bridge that crosses the first narrows of Burrard Inlet and connects the City of Vancouver to the North Shore municipalities of the District of North Vancouver, the City of North Vancouver, and West Vancouver1.",1
What was Walter Matthau's first movie?,Walter Matthau’s first movie was The Kentuckian in 195512.,1
Otis Barton was a pioneer in exploring where?,"Otis Barton was an American deep-sea diver, inventor and actor. He is known for designing the first bathysphere and making a dive with William Beebe off Bermuda in June 1930. They set the first record for deep-sea diving by descending 600 ft (180 m)1. Barton was also interested in exploring tropical rain forests, and spent considerable time in places like Gabon1.",1
Where in England was actor Nigel Hawthorne born?,"Nigel Hawthorne was born in Coventry, Warwickshire, England1.",1
What would Kevin Scale have been called if it had adopted the originator's first name?,"The Kelvin scale is named after William Thomson, 1st Baron Kelvin, who developed it in 1848. It is an absolute temperature scale that starts at absolute zero (−273.15 degrees Celsius) and is used in scientific applications1.  I’m not sure what you mean by “Kevin Scale” or “originator’s first name”. Could you please clarify your question?",1
"What mythological beast has the head of a man, the body of a lion, and the tail and feet of a dragon?","The creature you are referring to is called a manticore. It is a legendary animal that has the head of a man (often with horns), the body of a lion, and the tail of a dragon or scorpion1. The earliest Greek report of the creature is probably a greatly distorted description of the Caspian tiger1.",1
"In Greek mythology, who were Arges, Brontes and Steropes?","Arges, Brontes and Steropes were the Uranian Cyclopes in Greek mythology. They were children of Gaia and Uranus and loyal allies of the Olympians. They were master craftsmen and frequently fashioned weapons, armor, and ornaments for the gods—most famously, Zeus’ thunderbolts1.",1
"In Greek mythology, what were the names of Oedipus's parents?","In Greek mythology, Oedipus’ biological parents were Laius and Jocasta12.",1
Which musician founded the Red Hot Peppers?,"The Red Hot Chili Peppers were formed in Los Angeles by singer Anthony Kiedis, guitarist Hillel Slovak, bassist Flea, and drummer Jack Irons1. So the answer to your question is Hillel Slovak2.  Is there anything else I can help you with?",0
Where did the Shinning Path terrorists operate?,"The Shining Path terrorists operated in Peru. They began their revolutionary campaign in remote areas of the Andes and soon were engaged in bombings and assassinations and other terrorist acts in various urban centers, including Lima and Callao1. The group initially based its headquarters in the mountainous region of Ayacucho and Huanta, to the remote regions around the central selva and south of Vilcabamba (the site of the last Inca resistance)2. The group is regarded as a terrorist organization by Peru, Japan, the United States, the European Union, and Canada3.",1
How old was Jimi Hendrix when he died?,"Jimi Hendrix died on September 18, 1970 in London at the age of 2712.",1
Which Brit broke the land speed record in 1990 in Thrust 2?,Gary Gabelich broke the land speed record in 1990 in Thrust 2. He achieved average speeds of 622.407 mph over a flying mile and 630.388 mph over a flying kilometer1.,0
In which state was Gene Vincent born?,"Gene Vincent was born in Norfolk, Virginia12 on February 11, 193513.",1
How was the European Recovery Program in the 1940s more commonly known?,The European Recovery Program in the 1940s is more commonly known as the Marshall Plan. It was a U.S. program providing aid to Western Europe following the devastation of World War II. It was enacted in 1948 and provided more than $15 billion to help finance rebuilding efforts on the continent1234.,1
Brandon Lee died during the making of which movie?,"Brandon Lee died during the making of the action-adventure movie “The Crow” in 19931. He was shot at with a gun that was supposed to fire blank cartridges. The tip of a .44-caliber bullet had become lodged in the gun’s barrel in filming a close-up scene, and dislodged when a blank cartridge was fired2.",1
Who had a 70s No 1 hit with Let's Do It Again?,"The song “Let’s Do It Again” was performed by The Staple Singers and was released in 1975. It reached number one on the US Billboard Hot 100 chart on December 27, 19751.",1
Who had a Too Legit To Quit Tour?,"MC Hammer had a Too Legit To Quit Tour which began with two sold-out concerts in March 1992 at the 50,000 capacity Tokyo Dome. Capitol Records was prepared to allow the tour to continue for at least two years, although it ultimately would run for slightly less than that1.",1
"""According to Rudyard Kipling what were the """"two imposters"""" to meet and treat the same day?""","According to Rudyard Kipling’s poem “IF,” Triumph and Disaster are personified as “two impostors” (pretenders/cheaters/deceivers) who meet and treat those two impostors just the same123.",1
Who is the most successful UK solo artist in the USA?,"Elton John is the most successful UK solo artist in the USA. Since his debut in 1970, he has accumulated six UK and seven US No. 1 albums. On the US singles chart he has scored at least one hit every year since 1970 and every year between 1971 - 1999 in the UK1.",1
Where was horse racing's Breeder's Cup held in 1987?,The 1987 Breeder’s Cup was held at Hollywood Park in Los Angeles1.,1
Which country does the airline TAAG come from?,"TAAG Angola Airlines is a state-owned airline and flag carrier of Angola1. It operates domestic services within Angola, medium-haul services in Africa and long-haul services to Brazil, Cuba, and Portugal1. So the country of origin of TAAG airline is Angola.",1
Which US No 1 single came from Diana Ross's platinum album Diana?,"The US No 1 single that came from Diana Ross’s platinum album Diana is “Upside Down” 1. The album was released on May 22, 1980 by Motown Records and is the best-selling studio album of Ross’s career 2.",1
River Phoenix died during the making of which movie?,"River Phoenix died outside the Viper Room nightclub in Hollywood on October 31, 19931. He was filming the movie “Dark Blood” in Utah and New Mexico at the time of his death1.",1
Which artist David was born in Bradford UK?,"David Hockney was born on July 9, 1937 in Bradford, Yorkshire, England1. He studied at Bradford School of Art between the ages of 16 and 20 (1953-57)1. He is an English painter, draftsman, printmaker, stage designer, and photographer2.",1
What is Mel Gibson's middle name?,Mel Gibson’s middle name is Columcille1.,1
Richard Daley was mayor of which city for 21 years?,"Richard Daley was the mayor of Chicago for 21 years. He was first elected mayor in 1955 and was re-elected to that office six times1. His father, Richard J. Daley, also served as the mayor of Chicago for 21 years2.",1
"""In which movie did Garbo say, """"I want to be alone"""".""",Greta Garbo said the famous line “I want to be alone” in the 1932 film Grand Hotel12. This quote was voted by the American Film Institute to be the 30th most memorable movie quote of all time in 20051.,1
Robert Kirkpatrick of California grew the world's biggest what?,"Robert Kirkpatrick of Eureka, California grew the world’s biggest garlic head in 1985. It weighed 1.19 kg (2 lb 10 oz) 1.",1
What is Osbert Lancaster best known for producing?,"Osbert Lancaster was an English cartoonist, stage designer, and writer. He is best known for his suave cartoons that appeared from 1939 in the Daily Express (London), which gently satirized the English upper class, especially its response to social change1. He also designed new productions for the Royal Ballet, Glyndebourne, D’Oyly Carte, the Old Vic and the West End2.",1
Who was the defending champion when Martina Navratilova first won Wimbledon singles?,"Martina Navratilova won her first major singles title at Wimbledon in 19781. She defeated Chris Evert in three sets in the final and captured the world No. 1 ranking for the first time on the WTA computer, a position she held until Evert took it back in January 19791.",0
Who was the first US-born winner of golf's British Open?,Walter Hagen became the first native-born American player to win the British Open in 192212.,1
In which country is the Sky Train Rail bridge?,"The SkyTrain Rail bridge is located in Canada. It is part of the SkyTrain system in Vancouver, British Columbia1. The SkyBridge is the world’s third-longest cable-supported transit-only bridge and it crosses the Fraser River1.",1
What was the Paramount Film Company originally called?,"The Paramount Film Company was originally called Famous Players Film Company when it was founded in 1912 by Adolph Zukor1. Later, the company changed its name to Paramount Pictures, Inc. as part of a reorganization in the mid-1930s2.",1
Which founder of the company Triad was accused by the USA of receiving bribes?,"The founder of Triad, Gary L. Adams, was accused by the USA of receiving bribes in 20071.",0
Who was the first person after Scott to reach the South Pole overland?,The first person after Scott to reach the South Pole overland was Sir Edmund Hillary. He reached the South Pole as part of the Commonwealth Trans-Antarctic Expedition in 19581.,1
Which journalist first told the world about the My Lai massacre?,"Seymour Hersh was an American journalist who reported on the Vietnam War and in 1969, he uncovered the My Lai Massacre12.",1
What is the name of Terence and Shirley Conran's dress designer son?,Terence and Shirley Conran had two sons who both became designers. Jasper Conran is a fashion designer and the chairman and creative director of The Conran Shop1. Sebastian Conran is an award-winning product designer2. I couldn’t find any information about their dress designer son. ,1
Which drink did The Spice Girls promote?,The Spice Girls promoted Pepsi in early 1997 as part of the soft drink company’s Generation Next campaign. 92 million promotional Pepsi cans and bottles featuring the Spice Girls individually and as a group were produced worldwide1.,1
Who was the youngest brother in the Beach Boys?,"The youngest brother in the Beach Boys was Carl Wilson1. He was born on December 21, 1946 in Los Angeles2. He joined the Beach Boys as a teenager after taking guitar lessons with his neighbor and future bandmate, David Marks2.",1
Which actress was called by the US Senate a 'powerful force of evil' when she left her husband and child in 1948?,The actress you are referring to is Ingrid Bergman. She was called a “powerful force of evil” by the US Senate when she left her husband and child in 19481.,1
Who first hosted Family Feud?,"Richard Dawson was the first host of Family Feud. The show premiered in 1976 and has had six hosts. The other hosts were Ray Combs, Louie Anderson, Richard Karn, John O’Hurley and Steve Harvey who is the current host of the show 12.",1
What did the Lone Ranger's title Kemo Sabe mean in Apache?,"According to Native American writer Sherman Alexie, who is of Coeur D’Alene descent, kemosabe means “idiot” in Apache. “They were calling each other ‘idiot’ all those years,” he told an interviewer in 199612. However, a 1939 Saturday Evening Post article claimed that Striker’s letters to his children always opened with the phrase “Ta-i ke-mo sah-bee,” or, “Greetings, trusty scout.”13",0
Who or what was Gentle Ben in the 60s TV series?,"Gentle Ben was a CBS television series that premiered on September 10, 1967, and ran until August 31, 1969. The series chronicled the adventures of young Mark Wedloe (played by Clint Howard) and his lovable 650-to-750 lb (290-to-340 kg) black bear named Ben1. The show was based on a 1965 children’s novel that tells the story of the friendship between a large male bear named Ben and a boy named Mark2.",1
Which 70s show was based on the British show Till Death Us Do Part?,The show that was based on the British show Till Death Us Do Part is All in the Family1. It was an American sitcom that aired from 1971 to 1979. The show was created by Norman Lear and starred Carroll O’Connor as Archie Bunker1.,1
On what date in 1969 did Neil Armstrong first set foot on the Moon?,"Neil Armstrong became the first human to step on the moon on July 20, 196912.",1
Bandar Seri Begawan International airport is in which country?,Bandar Seri Begawan International Airport is located in Brunei Darussalam12.,1
What was the profession of Paul Strand (1890 - 1976)?,Paul Strand (1890 - 1976) was an American photographer and filmmaker who helped establish photography as an art form in the 20th century123,1
